ID	URL	Author	Data	Motivo	Resumo	Título	Binário	Assunto
1	https://www.aosfatos.org/noticias/falso-lula-recusou-vacina-japonesa-contra-dengue/	aos fatos	03/01/2024	Não é verdade que o governo Lula (PT) se recusou a comprar a vacina japonesa contra a dengue QDenga no ano passado para esperar que o Instituto Butantan produzisse um imunizante nacional contra a doença. A vacina produzida pela farmacêutica Takeda foi incorporada ao SUS (Sistema Único de Saúde) em dezembro de 2023.	Lula descartou a vacina japonesa contra a dengue para esperar a vacina nacional do Butantan, que só estará disponível em 2025. Detalhe: O Brasil está registrando números alarmantes de mortes por dengue. Já pode chamar o Lula de #LulaGenocida?	Lula recusou vacina japonesa contra a dengue para esperar imunizante nacional	falso	Política, Saúde
2	https://www.aosfatos.org/noticias/falso-app-celular-seguro-permite-governo-acessar-conteudo/	aos fatos	26/12/2023	Não é verdade que o aplicativo Celular Seguro, que facilita o bloqueio do aparelho em caso de furto ou roubo, vai permitir ao governo federal acessar câmera, microfone, lista de contatos ou as redes sociais de quem aderir ao programa, como alega corrente que circula no WhatsApp e vídeos nas redes. Além de não exigir nenhuma permissão de acesso a esses recursos para funcionar, o programa é regido pela LGPD (Lei Geral de Proteção de Dados), cuja fiscalização é feita por um órgão que possui autonomia em relação ao governo.	ATENÇÃO MELHOR PERDER UM CELULAR DO QUE A SUA LIBERDADE. O aplicativo que o Governo Federal, mais precisamente o Ministério da Justiça, lançou no dia de ontem é, na verdade, uma armadilha para todos nós brasileiros de bem. O aplicativo passa a controlar todo o seu celular, inclusive todas as mensagens trocadas em redes sociais que você utiliza.	app Celular Seguro permite ao governo acessar conteúdo de aparelho	falso	politica, seguranca, tecnologia
3	https://noticias.uol.com.br/confere/ultimas-noticias/2023/12/15/e-falso-que-ministros-do-stf-recebem-mais-de-r-90-mil-de-vale-alimentacao.htm	uol 	15/12/2023… - Veja mais em https://noticias.uol.com.br/confere/ultimas-noticias/2023/12/15/e-falso-que-ministros-do-stf-recebem-mais-de-r-90-mil-de-vale-alimentacao.htm?cmpid=copiaecola	Ministros do Supremo não recebem vale alimentação ou auxílio moradia, segundo o Portal da Transparência do tribunal. O próprio STF negou o recebimento desses benefícios.	"Só lembrando que esse sujeito tem um vale alimentação de 90 mil reais por mês. 11 mil reais de auxílio aluguel e direito a 220 funcionários ao seu dispor incluindo um só para ajeitar sua toga. Os 11 ministros do STF custam 700 milhões ao bolso dos brasileiros só com regalias", diz o texto… - Veja mais em https://noticias.uol.com.br/confere/ultimas-noticias/2023/12/15/e-falso-que-ministros-do-stf-recebem-mais-de-r-90-mil-de-vale-alimentacao.htm?cmpid=copiaecola	Barroso receba mais de R$ 90 mil de vale alimentação do STF… - Veja mais em https://noticias.uol.com.br/confere/ultimas-noticias/2023/12/15/e-falso-que-ministros-do-stf-recebem-mais-de-r-90-mil-de-vale-alimentacao.htm?cmpid=copiaecola	falso	politica
4	https://www.aosfatos.org/noticias/falsa-foto-lula-dez-dedos-morreu-foi-substituido/	aos fatos	31/12/2024	Aos Fatos utilizou o Google Imagens para fazer a busca reversa e submeteu a fotografia às ferramentas de detecção de deepfakes TrueMedia.org e Fake Image Detector. A reportagem também procurou imagens de aparições recentes do presidente, para comparar suas mãos com as exibidas na foto manipulada.	Presidente Lula (PT) aparece com cinco dedos em cada mão em uma foto. Imagem sugere que o presidente Luiz Inácio Lula da Silva teria sido substituído porque fotos recentes mostrariam cinco dedos em cada mão.	Será que o dedo volta a crescer feito rabo de lagartixa?	falso	Política
5	https://www.boatos.org/religiao/projeto-de-lei-4257-2018-proibe-pregacoes-ou-que-se-fale-em-nome-de-deus.html	boatos.org	14/07/2022	a história que diz que o Projeto de Lei 4257/2018 quer proibir manifestações religiosas em público e punir pregadores do Evangelho por assédio religioso é falsa! O Projeto de Lei foi proposto em 2018, mas só em 2022 começou a receber ataques. Na realidade, o PL 4257/2018 visa criminalizar a intolerância religiosa no estado do Rio de Janeiro. Ele prevê mecanismos de punição contra quem incitar a discriminação ou o preconceito contra qualquer religião.	“Olha essa lei de um deputado estadual corno. Projeto de lei 4257/2018 Será considerado CRIME a propagação do evangelho. É proibido falar no nome de Deus. Um cabra desses só pode ser do CAPETA. Só pode ser do #PT Lembrando aos RETARDADOS de #ESQUERDA que os CRIMES cometidos pelo #Molusco continuam. O Nove Dedos continua RÉU. Foram só as condenações que foram anuladas por um professorzinho de ESQUERDA que virou ministro do #STF indicado por uma ex-terrorista”.	Projeto de Lei 4257/2018 proíbe pregações ou que se fale em nome de Deus	falso	politica, religiao
6	https://www.boatos.org/saude/5-fake-news-sobre-a-vacina-que-previne-o-hpv.html	boatos.org	28/10/2023	A tese é falsa! De acordo com médico que escreveu este artigo para o site MD Saúde, a vacinação tem uma eficácia de quase 100% na prevenção de tumores malignos do colo do útero provocados pelo HPV-16 e HPV-18 quando administradas antes do início da vida sexual. Há, ainda, proteção em menor nível para homens vacinados (90%) e em mulheres com a vida sexual ativa (44%).	“Olha essa lei de um deputado estadual corno. Projeto de lei 4257/2018 Será considerado CRIME a propagação do evangelho. É proibido falar no nome de Deus."	Vacina contra HPV não é eficaz e não serve para evitar o câncer de colo do útero	falso	saude
7	Minus	Minus	20/08/2025	Existe uma regra institucional e de política monetária que impede isso. Geralmente, o Banco Central do Brasil opta por figuras históricas, animais da fauna brasileira ou símbolos nacionais. Há também o fato de que não houve nenhum anúncio oficial – Notícias verdadeiras desse tipo são divulgadas pelo Banco Central do Brasil em seus canais oficiais e repercutidas na imprensa. Se fosse real, estaria em todos os jornais. Juntamente com o fato de que a nota de R$200 já existe (foi lançada em 2020), e o personagem estampado nela é o lobo-guará.	A mudança busca incluir grandes nomes como representantes, com destaque para nossa nova nota de 200 Reais que será representada por, ninguém mais, ninguém menos que o Rei ROBERTO CARLOS, também icluindo nomes como Pabllo Vittar	Banco Central do Brasil anuncia o novo visual das Cedulas Monetarias brasileiras	falso	financeiro
8	https://lupa.uol.com.br/jornalismo/2021/06/17/verificamos-mascaras-cerebro-oxigenio-doencas-neurodegenerativas/	lupa uol	17/06/2021	Um estudo publicado em novembro do ano passado na revista Annals of the American Thoracic Society avaliou se de fato ocorrem anormalidades ligadas à troca de gases em pessoas saudáveis e também em pessoas com disfunção pulmonar com o uso de máscaras cirúrgicas. Os pesquisadores mediram os valores de CO2 no final da expiração e a saturação de oxigênio antes e depois do uso da peça em 15 médicos sem doença pulmonar e em 15 pessoas com doenças pulmonares crônicas. Eles descobriram que a utilização do aparato não afetou de forma relevante as trocas gasosas, mesmo nos pacientes que apresentavam disfunção pulmonar grave.	“(…) quando a gente respira o ar que a gente exala, a gente necessariamente está criando uma deficiência de oxigênio no organismo e uma enxurrada de gás carbônico. Médica lembra que o cérebro é muito sensível à privação de oxigênio e as células nervosas, que são aquelas associadas à memória, às respostas emocionais e processamento espacial, não sobrevivem mais do que três minutos sem oxigênio. A cada três minutos com privação de oxigênio no cérebro, uma célula nervosa morre. Só que as células nervosas, elas não fazem as divisões celulares, ou seja, não se reproduzem mais, não se regeneram. Ou seja, quando o governo se permitir ser bonzinho e permitir que a gente volte a respirar, vai ser muito tarde. As células que morreram porque você está usando máscara achando que estava salvando vidas não serão regeneradas, o que foi perdido foi perdido (…)”	Máscaras privam o cérebro de oxigênio e nem causam doenças neurodegenerativas	falso	saude
9	https://www.boatos.org/entretenimento/faustao-morreu-em-agosto-de-2025.html	boatos.org	18/08/2025	Redação mal feita – expressões como “acaba de não resistindo após falecer mais” não fazem sentido em português. Notícias reais de grandes veículos têm texto revisado; Ausência de fontes oficiais – a morte de uma figura pública como Faustão seria anunciada por veículos sérios (Globo, UOL, Estadão, CNN Brasil, etc.) e confirmada pela família ou hospital e Título apelativo – “DOMINGO DE DESPEDIDA” em letras maiúsculas e linguagem emocional é típico de manchete de fake news ou clickbait, não de jornalismo profissional.	Apresentador Fausto Silva, conhecido nacionalmente como Faustão, morre em agosto de 2025	“DOMINGO DE DESPEDIDA” FAUSTO SILVA NOSSO ETERNO FAUSTÃO ACABA DE NÃO RESISTINDO APÓS FALECER MAIS	falso	cultura
10	https://cnn.noticia.pro/25902/comeca-alistamento-para-a-guerra-com-os-eua	noticiafalsa.com.br	20/08/2025	Não há guerra entre Brasil e EUA, Alistamento não é seletivo por profissão ou cidade, Idade incorreta e Fonte duvidosa	Na eminência da guerra com os EUA, a preferência para alistamento é de jovens de até 30 anos que trabalham em Home Office de Belo Horizonte	Começa alistamento para guerra com EUA 	falso	politica, internacional
